rid,Stand_ID,model climate name,soil,stand_age,distance,species
212,LP_S_HIGH_E_2030_L_20,high_8_2030,andesite,50,500,LPS
213,LP_S_HIGH_E_2030_L_21,high_8_2030,andesite,50,1000,LPS
214,LP_S_HIGH_E_2030_L_22,high_8_2030,andesite,100,50,LPS
215,LP_S_HIGH_E_2030_L_23,high_8_2030,andesite,100,500,LPS
216,LP_S_HIGH_E_2030_L_24,high_8_2030,andesite,100,1000,LPS
217,LP_S_LOW_E_2070_H_1,low_4.5_2070,rhyolite,10,50,LPS
218,LP_S_LOW_E_2070_H_2,low_4.5_2070,rhyolite,10,500,LPS
219,LP_S_LOW_E_2070_H_3,low_4.5_2070,rhyolite,10,1000,LPS
220,LP_S_LOW_E_2070_H_4,low_4.5_2070,rhyolite,20,50,LPS
221,LP_S_LOW_E_2070_H_5,low_4.5_2070,rhyolite,20,500,LPS
222,LP_S_LOW_E_2070_H_6,low_4.5_2070,rhyolite,20,1000,LPS
223,LP_S_LOW_E_2070_H_7,low_4.5_2070,rhyolite,50,50,LPS
224,LP_S_LOW_E_2070_H_8,low_4.5_2070,rhyolite,50,500,LPS
225,LP_S_LOW_E_2070_H_9,low_4.5_2070,rhyolite,50,1000,LPS
226,LP_S_LOW_E_2070_H_10,low_4.5_2070,rhyolite,100,50,LPS
227,LP_S_LOW_E_2070_H_11,low_4.5_2070,rhyolite,100,500,LPS
228,LP_S_LOW_E_2070_H_12,low_4.5_2070,rhyolite,100,1000,LPS
229,LP_S_LOW_E_2070_H_13,low_4.5_2070,andesite,10,50,LPS
230,LP_S_LOW_E_2070_H_14,low_4.5_2070,andesite,10,500,LPS
231,LP_S_LOW_E_2070_H_15,low_4.5_2070,andesite,10,1000,LPS
232,LP_S_LOW_E_2070_H_16,low_4.5_2070,andesite,20,50,LPS
233,LP_S_LOW_E_2070_H_17,low_4.5_2070,andesite,20,500,LPS
234,LP_S_LOW_E_2070_H_18,low_4.5_2070,andesite,20,1000,LPS
235,LP_S_LOW_E_2070_H_19,low_4.5_2070,andesite,50,50,LPS
236,LP_S_LOW_E_2070_H_20,low_4.5_2070,andesite,50,500,LPS
237,LP_S_LOW_E_2070_H_21,low_4.5_2070,andesite,50,1000,LPS
238,LP_S_LOW_E_2070_H_22,low_4.5_2070,andesite,100,50,LPS
239,LP_S_LOW_E_2070_H_23,low_4.5_2070,andesite,100,500,LPS
240,LP_S_LOW_E_2070_H_24,low_4.5_2070,andesite,100,1000,LPS
241,LP_S_MID_E_2070_H_1,mid_4.5_2070,rhyolite,10,50,LPS
242,LP_S_MID_E_2070_H_2,mid_4.5_2070,rhyolite,10,500,LPS
243,LP_S_MID_E_2070_H_3,mid_4.5_2070,rhyolite,10,1000,LPS
244,LP_S_MID_E_2070_H_4,mid_4.5_2070,rhyolite,20,50,LPS
245,LP_S_MID_E_2070_H_5,mid_4.5_2070,rhyolite,20,500,LPS
246,LP_S_MID_E_2070_H_6,mid_4.5_2070,rhyolite,20,1000,LPS
247,LP_S_MID_E_2070_H_7,mid_4.5_2070,rhyolite,50,50,LPS
248,LP_S_MID_E_2070_H_8,mid_4.5_2070,rhyolite,50,500,LPS
249,LP_S_MID_E_2070_H_9,mid_4.5_2070,rhyolite,50,1000,LPS
250,LP_S_MID_E_2070_H_10,mid_4.5_2070,rhyolite,100,50,LPS
251,LP_S_MID_E_2070_H_11,mid_4.5_2070,rhyolite,100,500,LPS
252,LP_S_MID_E_2070_H_12,mid_4.5_2070,rhyolite,100,1000,LPS
253,LP_S_MID_E_2070_H_13,mid_4.5_2070,andesite,10,50,LPS
254,LP_S_MID_E_2070_H_14,mid_4.5_2070,andesite,10,500,LPS
255,LP_S_MID_E_2070_H_15,mid_4.5_2070,andesite,10,1000,LPS
256,LP_S_MID_E_2070_H_16,mid_4.5_2070,andesite,20,50,LPS
257,LP_S_MID_E_2070_H_17,mid_4.5_2070,andesite,20,500,LPS
258,LP_S_MID_E_2070_H_18,mid_4.5_2070,andesite,20,1000,LPS
259,LP_S_MID_E_2070_H_19,mid_4.5_2070,andesite,50,50,LPS
260,LP_S_MID_E_2070_H_20,mid_4.5_2070,andesite,50,500,LPS
261,LP_S_MID_E_2070_H_21,mid_4.5_2070,andesite,50,1000,LPS
262,LP_S_MID_E_2070_H_22,mid_4.5_2070,andesite,100,50,LPS
263,LP_S_MID_E_2070_H_23,mid_4.5_2070,andesite,100,500,LPS
264,LP_S_MID_E_2070_H_24,mid_4.5_2070,andesite,100,1000,LPS
265,LP_S_HIGH_E_2070_H_1,high_4.5_2070,rhyolite,10,50,LPS
266,LP_S_HIGH_E_2070_H_2,high_4.5_2070,rhyolite,10,500,LPS
267,LP_S_HIGH_E_2070_H_3,high_4.5_2070,rhyolite,10,1000,LPS
268,LP_S_HIGH_E_2070_H_4,high_4.5_2070,rhyolite,20,50,LPS
269,LP_S_HIGH_E_2070_H_5,high_4.5_2070,rhyolite,20,500,LPS
270,LP_S_HIGH_E_2070_H_6,high_4.5_2070,rhyolite,20,1000,LPS
271,LP_S_HIGH_E_2070_H_7,high_4.5_2070,rhyolite,50,50,LPS
272,LP_S_HIGH_E_2070_H_8,high_4.5_2070,rhyolite,50,500,LPS
273,LP_S_HIGH_E_2070_H_9,high_4.5_2070,rhyolite,50,1000,LPS
274,LP_S_HIGH_E_2070_H_10,high_4.5_2070,rhyolite,100,50,LPS
275,LP_S_HIGH_E_2070_H_11,high_4.5_2070,rhyolite,100,500,LPS
276,LP_S_HIGH_E_2070_H_12,high_4.5_2070,rhyolite,100,1000,LPS
277,LP_S_HIGH_E_2070_H_13,high_4.5_2070,andesite,10,50,LPS
278,LP_S_HIGH_E_2070_H_14,high_4.5_2070,andesite,10,500,LPS
279,LP_S_HIGH_E_2070_H_15,high_4.5_2070,andesite,10,1000,LPS
280,LP_S_HIGH_E_2070_H_16,high_4.5_2070,andesite,20,50,LPS
281,LP_S_HIGH_E_2070_H_17,high_4.5_2070,andesite,20,500,LPS
282,LP_S_HIGH_E_2070_H_18,high_4.5_2070,andesite,20,1000,LPS
283,LP_S_HIGH_E_2070_H_19,high_4.5_2070,andesite,50,50,LPS
284,LP_S_HIGH_E_2070_H_20,high_4.5_2070,andesite,50,500,LPS
285,LP_S_HIGH_E_2070_H_21,high_4.5_2070,andesite,50,1000,LPS
286,LP_S_HIGH_E_2070_H_22,high_4.5_2070,andesite,100,50,LPS
287,LP_S_HIGH_E_2070_H_23,high_4.5_2070,andesite,100,500,LPS
288,LP_S_HIGH_E_2070_H_24,high_4.5_2070,andesite,100,1000,LPS
289,LP_S_LOW_E_2070_L_1,low_8_2070,rhyolite,10,50,LPS
290,LP_S_LOW_E_2070_L_2,low_8_2070,rhyolite,10,500,LPS
