"distance"	"species"	"replicate"	"rid"	"elevation"	"rcp"	"period"	"model.soil.y"	"model.stand.age.x.post"	"density.post"	"w.height.post"	"height_avg_m.s.post"	"height_avg_m.post"	"density.pre"	"dens.change"
"199"	"short"	"LPS"	9	80	"low"	"4.5"	"2070"	"andesite"	"100"	45480.2982276804	1.09776859787005	0.956187906815533	7.95524448555525	7525.00647841145	504.388824888844
"201"	"short"	"LPS"	9	81	"med"	"4.5"	"2070"	"rhyolite"	"10"	1524.97464248027	1.79069289634057	1.15482104931559	6.75995655555946	42811.7087610706	-96.4379496016124
"203"	"short"	"LPS"	9	82	"med"	"4.5"	"2070"	"rhyolite"	"20"	1494.85905353635	1.49234725350576	0.901339220611945	7.21186571121216	5249.8697868131	-71.525787986376
"205"	"short"	"LPS"	9	83	"med"	"4.5"	"2070"	"rhyolite"	"50"	57505.523610131	0.942317867027981	0.901775775760335	7.79939171243399	23208.0522562901	147.782635850216
"207"	"short"	"LPS"	9	84	"med"	"4.5"	"2070"	"rhyolite"	"100"	65514.0226884658	0.867986103346561	0.750269039734136	7.1239205904151	4093.34519850093	1500.50080096979
"209"	"short"	"LPS"	9	85	"med"	"4.5"	"2070"	"andesite"	"10"	1556.4210861277	2.30948820282817	1.35781770153494	8.44489920994882	43554.3270367902	-96.4264834471831
"211"	"short"	"LPS"	9	86	"med"	"4.5"	"2070"	"andesite"	"20"	1475.90116128065	2.06885587834332	1.1456444113875	8.47128353067624	17557.4301376866	-91.593865675634
"213"	"short"	"LPS"	9	87	"med"	"4.5"	"2070"	"andesite"	"50"	54944.3693469777	1.21766936917789	1.14666925620929	9.32498462439403	32674.2317610565	68.1581062066907
"215"	"short"	"LPS"	9	88	"med"	"4.5"	"2070"	"andesite"	"100"	52650.057464185	1.35622237410865	1.19546300638749	8.15026164930068	6251.55570674714	742.19128700015
"217"	"short"	"LPS"	9	89	"high"	"4.5"	"2070"	"rhyolite"	"10"	1740.35754567336	1.72115926078819	1.10032464436459	7.27446298326765	43865.8473590458	-96.03254547569
"219"	"short"	"LPS"	9	9	"med"	"0"	"hist"	"rhyolite"	"10"	1560.5526629687	1.54994399578912	1.13334893068509	6.78655361092609	42818.4234085218	-96.3554177413779
"221"	"short"	"LPS"	9	90	"high"	"4.5"	"2070"	"rhyolite"	"20"	1946.36079879027	1.47421175552153	0.856830792177926	6.95655721335242	5229.22898123847	-62.779201182938
"223"	"short"	"LPS"	9	91	"high"	"4.5"	"2070"	"rhyolite"	"50"	82609.4693662063	0.955902733243733	0.911181269220044	8.25594550833891	13201.2909854987	525.768112050182
"225"	"short"	"LPS"	9	92	"high"	"4.5"	"2070"	"rhyolite"	"100"	53717.5174412508	1.12009736129966	0.934040102030738	7.45363179795348	4074.90052680939	1218.2534662585
"227"	"short"	"LPS"	9	93	"high"	"4.5"	"2070"	"andesite"	"10"	2150.84416852922	2.33604925292173	1.40979905891903	9.01369153361284	43133.3312475986	-95.0134985953607
"229"	"short"	"LPS"	9	94	"high"	"4.5"	"2070"	"andesite"	"20"	2267.8384204651	1.98797140946694	1.1764891199729	8.45044450986055	25469.726107544	-91.095945001963
"231"	"short"	"LPS"	9	95	"high"	"4.5"	"2070"	"andesite"	"50"	67499.3328986369	1.31883237476441	1.21875884326917	9.76926088977504	22328.9862481115	202.294659276553
"233"	"short"	"LPS"	9	96	"high"	"4.5"	"2070"	"andesite"	"100"	41528.6453797974	1.76008657397819	1.51356679421687	8.90535922224104	4978.27224013577	734.197958178857
"235"	"short"	"LPS"	9	97	"low"	"8"	"2070"	"rhyolite"	"10"	930.270349589506	1.70091804736489	1.14268105915364	6.18453851718347	43156.4768110856	-97.8444247113552
"237"	"short"	"LPS"	9	98	"low"	"8"	"2070"	"rhyolite"	"20"	1560.43367767649	1.23892358985916	0.958645307065806	6.22799074793436	6450.05922899067	-75.8074519585354
"239"	"short"	"LPS"	9	99	"low"	"8"	"2070"	"rhyolite"	"50"	44453.2962976289	0.81459161451836	0.776377465846713	7.04480873397349	17942.3919683208	147.755685953779
